"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MTND5P11",1811.69492142419,0.351918089930742,0.0927078885327331,3.79598862082257,0.000147056243695294,0.00318991521615345
"TEAD4",1927.52048668512,0.148713177673679,0.0486747109255163,3.05524521555443,0.0022487657848703,0.0317856927801208
"KLF18",1719.12709743152,0.730945100241287,0.159625867513953,4.57911434797619,4.66948883479766e-06,0.000155874181637485
"RTEL1",1672.26258644716,0.497270137305213,0.0941844439893514,5.27974807985737,1.29361622017957e-07,5.70508396215487e-06
"ZNF285",2115.69933689358,0.23433072763289,0.0648311258806598,3.61447876231924,0.000300952483358032,0.00586996350623617
"VSIG8",2117.28243640918,0.52161315802428,0.153973491645904,3.38768155770504,0.000704860488140189,0.0120626124672502
"PAK2",1804.06526668488,0.371298674456795,0.0803864140202669,4.61892322206566,3.85736543689367e-06,0.000131096095763724
"PHLDB3",2084.49344650186,1.44323709743723,0.3002539023789,4.80672219745528,1.53424947301481e-06,5.63369735841156e-05
"TMCO6",2065.92084121033,0.183696062121027,0.0496187903114915,3.70214712950154,0.000213782578433864,0.00436111296174686
"PHKG2",1888.39095040549,0.244933145918509,0.0597690945454064,4.09798990233045,4.16753456610654e-05,0.0010796599134372
"TAF4",1479.92336860502,1.44195495228462,0.211044510297833,6.83246842218111,8.34657830310147e-12,6.40827518716759e-10
"SNRPEP3",1857.84567048626,0.383724888666478,0.132216397135704,2.90224886609664,0.00370494083960711,0.0483991923602503
"SPINK2",1926.89913707598,0.541469725762056,0.0903805218202352,5.99100021616412,2.08554362769478e-09,1.227418725275e-07
"RBMX2",1882.57738487158,0.561586410826229,0.0537592419553663,10.4463230953384,1.52316450037801e-25,3.34126903582922e-23
"TMEM179",1982.51825174879,0.283648636970972,0.085723662584828,3.30887211789728,0.000936726123252132,0.0154363326320505
"RPL37",1905.35034896655,0.496903657433987,0.0737495215556991,6.73772042112439,1.6089076162046e-11,1.18672744739353e-09
"TCAF1P1",1984.94888611741,0.315707056622981,0.0842399552235624,3.74771159107497,0.000178455279340897,0.00375378346618566
"XAF1",2044.83053105621,0.162763018087806,0.0442466896731981,3.67853548570432,0.000234577057335973,0.00472257577528238
"MMP25",1462.35288733827,1.12419635025593,0.181071990589345,6.20856017872753,5.34722461686359e-10,3.37014817177026e-08
"MTND5P10",2113.97981358109,0.237243262231447,0.0537807964964052,4.41130064422354,1.02751531306677e-05,0.000311772965799699
"LIPE-AS1",2251.71433696076,0.909318824595463,0.254133428511202,3.57811575565857,0.000346080182369719,0.00662771015919151
"NPLOC4",1807.52950331192,0.976414366801687,0.0614796038544597,15.8819235256159,8.45454301244686e-57,7.14028430116199e-54
"SMIM8",2180.57311135141,0.251921133180046,0.0767185538647371,3.2837054465887,0.00102451940146784,0.0166716350772576
"STXBP5-AS1",1837.23158308725,0.467988724765036,0.140619844278596,3.32804183624223,0.000874587314659833,0.0145686926350288
"NUDCD1",1993.71719986769,0.548241683058283,0.0654368357057159,8.3781814500299,5.37517346443661e-17,6.53180251710783e-15
"RALGPS2-AS1",1609.23689011234,0.622334667180148,0.176867659829168,3.51864590610428,0.000433755225134154,0.00798970502479934
"SACS-AS1",2063.32588806698,0.44896328290394,0.0619793422075551,7.24375682143353,4.36423639647292e-13,3.85949303522639e-11
"RPS29P8",2244.50286874146,0.648454370474439,0.142404967853231,4.55359374219841,5.27371550898922e-06,0.00017263241988825
"SPRING1P1",2268.0033829447,1.06123865891294,0.187894791363997,5.64804724606265,1.62280583977502e-08,8.25626910832527e-07
"WWP1P1",1935.43116472846,0.914973205507049,0.0893961921341051,10.2350355609608,1.38144421222646e-24,2.81132219141171e-22
"PDLIM1",2098.88123688712,0.271672732628578,0.0775657718979231,3.50248216424766,0.00046094464306173,0.00843533690786097
"RBM17P1",2235.34030178339,0.342161392070507,0.099036897793824,3.45488802348012,0.000550521413363765,0.009747229762188
"PPP1R3F",1880.96339784369,0.809316351694923,0.114171793044646,7.08858405489388,1.35491078518468e-12,1.14428990362772e-10
"PCDHA13",2221.82060174944,0.19305635926878,0.0438650651210748,4.40114151742196,1.07682860645374e-05,0.000323642562128295
"VN1R1",1900.85770776259,0.675299604206393,0.124990627828461,5.40280192154234,6.56078964449597e-08,3.03611775027894e-06
"RNU6-1156P",2462.8703201438,0.186015621360292,0.0574119848680206,3.24001376694966,0.00119523928691207,0.0189922735608954
"TRPM6",2321.99035781544,0.254336516296833,0.0513080659996193,4.95704742210943,7.15725119614122e-07,2.81802167724991e-05
"RNA5SP82",2224.91973005278,0.473679047253936,0.0590046118591305,8.02783091573947,9.92110843976703e-16,1.10978438845103e-13
"SFTPD",2341.08165100152,0.215539064910872,0.0523087756094335,4.12051443375786,3.78027382450606e-05,0.000989962870848555
"ZNF335",1808.8183123888,0.467814132724522,0.156018733881797,2.99844846247085,0.0027135804716588,0.0372431493833741
"TM4SF19-AS1",2063.33274230599,0.440879837768049,0.116980001617056,3.76884793702866,0.000164002757235987,0.0034932794104326
"PRAG1",2220.57547237267,0.624415072772972,0.0687187259713653,9.08653447727134,1.02246082653549e-19,1.52835272752309e-17
"TFAM",2316.7163510602,0.403111482394871,0.134443370665662,2.99837381641778,0.00271424527209363,0.0372431493833741
"SEPTIN10P1",2103.84236387077,0.321895621696841,0.109133834589522,2.94954926588594,0.00318237830545659,0.0423256314625727
"RBPJP2",2582.64712109932,0.42142042529602,0.137847849327177,3.05714182232756,0.00223458522300035,0.0316117077066155
"RCL1",2370.92840131487,0.144922356494319,0.048853934056687,2.9664418903534,0.003012672861365,0.0405474560169851
"LIPH",2282.96424666945,0.635035793687986,0.169544927510527,3.74553106962493,0.000180012565801133,0.00378183115540664
"MRPL1",2368.68600899986,0.258928296049595,0.0639217995699515,4.05070410707449,5.10637459114631e-05,0.00128945564523427
"LOXL3",2597.57770441249,0.375729514121406,0.125407157105758,2.99607712025995,0.00273477259993949,0.0374335850774537
"RALGPS1",2353.96504867917,0.448374076433214,0.150839774141608,2.9725188796178,0.00295367044112815,0.0399123579368764
"RN7SKP89",2303.10425431931,0.711922445543753,0.13346559793155,5.33412697037383,9.60053304904347e-08,4.37095966930979e-06
"PFKFB1",2459.21982756745,0.258680913090502,0.0743030234332618,3.48143186021019,0.000498740659090036,0.00897222020028402
"VAPB",2081.38160895798,0.707360157488091,0.130759206846322,5.40963940167848,6.31517772732495e-08,2.9466758837637e-06
"MESDP1",2289.90270489179,0.395306494182028,0.0688476229506483,5.74175951529064,9.36978249340501e-09,4.9768866696888e-07
"LYRM7",1896.69413465266,1.06105768453717,0.0586596807442306,18.088364462187,3.93595585549689e-73,4.74873073965699e-70
"TRAPPC2L",2570.60486874977,0.287179526321105,0.0677853882202736,4.23659927103897,2.26930614727918e-05,0.000626321080615894
"PRDM13",1850.14324300212,1.31586707962294,0.276657628333203,4.75630145299347,1.9717197312237e-06,7.05599957205497e-05
"MIR5008",2175.04761847925,0.39707108117282,0.0856821274118294,4.63423462006616,3.58260494457942e-06,0.000122995488046526
"RPL7AP63",2021.92345400142,0.532884908695599,0.131474414276109,4.05314533348283,5.05335871010907e-05,0.00128025759881255
"NPRL2",2506.3265682111,0.24060279566462,0.0763411760635737,3.15167787648773,0.00162335252521098,0.0241586321615319
"TWF2-DT",2408.17898137629,0.347168541928794,0.103085651922551,3.3677678265994,0.00075779382666883,0.012877158477126
"RPL22P6",2367.59326053164,0.264969507356971,0.0719357706997826,3.6834179265667,0.000230127400813358,0.00466076969680866
"PARP14",2498.56879717817,0.353868151179067,0.104741147910364,3.37850174681972,0.000728819694314775,0.0124348418754251
"VASH1",2634.746421783,0.267360397246317,0.0670941757292005,3.98485255002481,6.7522040263716e-05,0.00164339305777295
"RPS2P15",2561.50409430892,0.227033295324256,0.0463137835501772,4.90206754708959,9.48332142997173e-07,3.66550989184559e-05
"POMT1",2250.19520831308,0.383279807921414,0.128104577940207,2.99192904800257,0.00277220685186495,0.0378539579101462
"SIGLEC18P",2284.85723326445,0.757207396143097,0.133941071647841,5.65328757510582,1.57407617489168e-08,8.03254400909228e-07
"USP1",1236.02838352533,1.89063050625262,0.436892077121098,4.32745431940753,1.50842616398026e-05,0.00043405155597599
"ZFAND1",2343.84383942206,0.31302587684561,0.0647584726052908,4.83374397592008,1.3398888720345e-06,5.06310132830754e-05
"XNDC1N",2602.44536027934,0.325217448463551,0.0645303347525939,5.03976075299189,4.66114165258063e-07,1.88352496779281e-05
"SERHL2",2735.9186904646,0.243008781499151,0.0839980090975384,2.89303025285956,0.00381544544809667,0.0496641400747308
"PSEN1",1641.22571295773,1.35304067471047,0.195343552885812,6.92646701015719,4.31480443464688e-12,3.43780008045379e-10
"THOC3",2128.487000518,0.596828930152985,0.125361158716128,4.76087598635288,1.9275447111976e-06,6.91256002480651e-05
