"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SP110",1651.21651103043,-0.754941235924979,0.236361896317731,-3.19400566540618,0.00140313363669136,0.0215250954914557
"TBC1D5",2258.49597485347,-0.491556977438625,0.14126593445016,-3.47965685677781,0.000502056373889928,0.00901193858807095
"ZNF98",1718.93183110791,-0.258789592329376,0.0750153111784224,-3.44982361952549,0.000560952930186742,0.00988014175577087
"RPS4XP15",1667.24666502497,-0.182092039545293,0.0517373434383827,-3.51954753459961,0.000432283565543998,0.00797129007161972
"TFPT",1813.40419449293,-0.332154129890344,0.0852800681506551,-3.89486238805019,9.82544953728624e-05,0.0022828289977208
"FAM3C",1670.82104145623,-0.43899341119817,0.109656216064066,-4.00336093068987,6.24489170173789e-05,0.00153317537404149
"RPS3AP47",1662.81674483858,-0.356277098476133,0.0712481184531829,-5.00051238139352,5.71781558903185e-07,2.28861666147718e-05
"EPHA2-AS1",1651.63650542675,-0.529471862892653,0.127181606005097,-4.16311666068624,3.13932868087273e-05,0.00083902532830097
"CHKA",1671.54805396332,-0.386069368055527,0.120882466612213,-3.19375819236072,0.00140433693870015,0.0215250954914557
"RNU6-611P",1724.65681678394,-0.259820314360336,0.0570081219184347,-4.55760171738474,5.17410344698626e-06,0.000169860832958148
"TAPBP",1970.91824733887,-0.48705740456826,0.0399733934321546,-12.1845398338504,3.75768301358995e-34,1.32231299546975e-31
"CBX3P3",1972.64647746201,-0.917207638599688,0.210371578028001,-4.35994085891967,1.30097600316222e-05,0.000380186603277043
"ZNF257",1751.98344773,-0.341666421297526,0.0610678881688552,-5.59486223517022,2.20797021661056e-08,1.09690661555203e-06
"UVSSA",1677.86651267405,-0.254631085551211,0.0827179142586977,-3.07830640839009,0.00208180742077781,0.0298212032059863
"MIR6793",1988.35082591193,-0.374719205531113,0.0852636492942772,-4.39482955084194,1.10859705047093e-05,0.000332009091835185
"XXYLT1",1951.96389649194,-0.335861113979848,0.101913765678268,-3.29554218455756,0.000982319540749108,0.0161247418491673
"XRN2",1820.17309500807,-0.266036273210283,0.0597396407277094,-4.45326202115718,8.4575439183497e-06,0.000263087245533784
"UBE2Q2P6",2040.06995983492,-0.793797731198493,0.0852746977630181,-9.30871351082931,1.29390013012224e-20,2.02363584239766e-18
"WASH8P",2058.35906274355,-1.11049650681342,0.345112167076687,-3.21778428219443,0.00129184936667856,0.0202417696220477
"ERMP1",1721.19913788317,-0.289586797688694,0.0918382607262107,-3.1532260672054,0.00161476702230899,0.0240520544742691
"LSMEM2",1721.30697138538,-0.216907245470957,0.0596633678273142,-3.63551796302816,0.000277422660793526,0.00546784849879049
"SH3BP5-AS1",2062.61454149368,-0.270367690456392,0.0909758133446202,-2.97186340541115,0.00295998341996504,0.0399656914041803
"RPLP1",1991.81070200361,-0.656472933824985,0.107957497180779,-6.0808461752841,1.19549943694357e-09,7.24757181986235e-08
"RPL29P5",3298.63797946879,-0.936258812254813,0.239796505997511,-3.90438888323307,9.44637810286381e-05,0.00220995529827524
"RNF24",1920.86376025517,-0.341995472420371,0.0781634212669184,-4.37539026410447,1.21215411106806e-05,0.00035669852073259
"PIAS2",2766.78018599214,-0.909204481620628,0.205896209410237,-4.41583885504704,1.00619023305198e-05,0.000307517543018637
"RPL7P9",1942.83305809354,-0.299090236760791,0.0742896905440108,-4.02599922776099,5.67338748207367e-05,0.00140820843260444
"TNRC18P1",3647.09509128834,-1.515321252282,0.0613951765059398,-24.681438160462,1.69253925451867e-134,9.52956018269164e-131
"RNU6-323P",2071.41498152749,-0.430219558835479,0.0714743015560461,-6.01922018780589,1.7525933231595e-09,1.0387036428592e-07
"PHB1P7",2230.27617407359,-0.911497140405214,0.157294828589055,-5.79483221782562,6.83895176319487e-09,3.75054331922483e-07
"TRAPPC2LP1",2188.7033611649,-0.52846238934565,0.0630544392535259,-8.38104970247751,5.24577412292842e-17,6.42075150075246e-15
"OIP5-AS1",2384.68707834712,-1.39045069568514,0.357439955973069,-3.89002592589259,0.000100233512765618,0.0023224201153965
"IFT122P3",2289.99466541723,-0.369327344260717,0.0928620128142788,-3.97716281467385,6.97424145848111e-05,0.00168529202396573
"RPS17P5",2155.05104212768,-0.648451755944721,0.107916255529627,-6.00884225237686,1.86852818535447e-09,1.10354229296581e-07
