""	"SRR18920974"	"SRR18920975"	"SRR18920976"	"SRR18920977"	"SRR18920978"	"SRR18920979"	"SRR18920980"	"SRR18920981"
"BPESC1"	5.09369451803056	4.90416521404081	5.30187658185437	5.38884626525348	5.03846364648891	4.73649557007284	5.53350661367003	5.16431444550394
"GGA2"	5.6024877833337	5.83507315232164	6.15782594144279	6.5063311897968	5.75260535024943	5.90363627297905	6.12737878494306	6.33891006028852
"IFNG-AS1"	4.85886871835436	4.80505788770759	4.50998328023123	4.577783561841	4.74523219874065	5.01513391356945	4.49519281179971	4.58608227619145
"BTG2"	5.20641311753352	5.16922765912327	5.51078818365493	5.47875206001668	5.05527092022699	4.92421929820389	5.52712694778439	5.38621330795128
"OR6A2"	4.90942220302648	5.01307666158895	4.40794524051841	4.65771349298229	5.08367717764167	4.80045921393709	4.67577151212124	4.48853710825055
"TGIF2"	4.80538601988768	4.79448575928993	4.4751040983364	4.31387734404041	4.76835977010871	4.66175932670549	4.23861689750457	4.18392120325267
"PCNT"	3.95277740489368	3.852069818368	2.96672425590041	2.56027423484394	3.01354309819941	3.18799049588461	2.56334476314682	2.72809729315621
"DOCK4-AS1"	5.48323972083415	5.51198646133716	5.9994565284211	6.00962462139505	5.37519892037258	5.35263154741256	5.95025643494504	5.84459721794095
"SMIM31"	4.61154731530952	4.5381445479382	4.04330814275505	3.97502080535327	4.28175519825353	4.15878241279535	3.71896661539558	3.96720102906274
"OSTN-AS1"	4.94710833516713	5.05269349203986	4.68110575197062	4.53781389031314	4.89975582413005	4.79525048544591	4.41980218894097	4.37175866579949
"RPS17P1"	5.12167671343254	5.31430117793908	4.75961637647094	4.70751724064798	5.0027991413298	5.2141826886958	4.99659113857058	4.73834648697329
"NPIPA5"	4.30506922835193	3.82834309451381	3.53065689047027	3.25311377361269	4.01770639522977	3.63150338400924	3.20581912541769	3.21248978899594
"RNU6-670P"	4.89236990730467	4.9441608906065	4.07699199286464	4.46860409467275	4.79341810752514	4.80382623750946	4.22778844919523	4.33532047888864
"HES7"	5.10127390508708	5.11124979744791	4.60895140405037	4.83027532023607	5.23134574989955	5.07044655711588	4.56625204026223	4.65971031661675
"KDM1B"	5.16006698391482	5.29251823861264	4.71941021163658	4.80149712608469	5.02075584921805	5.08364877423527	4.86049587726142	4.8968158601401
"GADD45A"	4.9351031488761	4.56473835555079	4.28658407261716	4.36424934280846	4.89188662322178	4.77604494948547	4.48122861505399	4.44452984126437
"CBX3P4"	5.23244873970152	5.25183993569582	4.86258525677282	4.87833428497075	5.23921288235952	5.20683068153763	4.95796999152788	4.97438194597858
"RAD51C"	5.9130639983759	6.12661878224629	6.44242715434311	6.36239160921826	6.15498032517715	6.0299600620147	6.47641163234344	6.2966813682725
"NOP56"	5.3216516957887	5.06868295350626	4.94131604883808	4.95591753965177	5.42712657192863	5.41579595643033	4.95388669135188	5.01092542556154
"IMPA2"	5.32943552251201	5.43248135776991	4.98857137087406	4.85663235804127	5.33135464378955	5.44983708550156	4.89622389729617	4.9114167973033
"ECM1"	5.78914621778744	5.49982152235206	6.52894536459538	6.32020130617963	5.66757562379847	5.67015741864236	6.11446693060412	6.11694248332192
"UBE2E3"	5.72711302278606	5.63286795975469	5.98922826398558	5.96161863737057	5.41436615031184	5.46686958780136	6.18658751987961	5.99828985272616
"GRID1"	6.34217428182747	6.53074927571301	8.03260681738907	8.19456375477588	7.01787715650664	6.98378655610034	8.98832000819409	9.02847692965554
"EIF4E3"	5.83327156446054	5.75172219589854	6.31882527081574	6.23824153249785	5.85873054928199	5.82283042808696	6.0706095280278	6.08183282425613
